algoritmo;dificuldade;tamanho_tabuleiro;execucao;tempo_ms;memoria_bytes;nos_visitados;chamadas_recursivas;backtracks;podas;profundidade_maxima;solucao_encontrada;status_execucao
Backtracking;facil;9;1;21,507;363536;70;70;50;0;19;true;concluido
Backtracking;facil;9;2;0,872;8968;70;70;50;0;19;true;concluido
Backtracking;facil;9;3;0,430;8968;70;70;50;0;19;true;concluido
Backtracking;facil;9;4;0,334;8968;70;70;50;0;19;true;concluido
Backtracking;facil;9;5;0,281;8968;70;70;50;0;19;true;concluido
Backtracking;facil;9;6;0,125;8968;70;70;50;0;19;true;concluido
Backtracking;facil;9;7;0,172;8968;70;70;50;0;19;true;concluido
Backtracking;facil;9;8;0,138;8968;70;70;50;0;19;true;concluido
Backtracking;facil;9;9;0,231;8968;70;70;50;0;19;true;concluido
Backtracking;facil;9;10;0,204;8968;70;70;50;0;19;true;concluido
Branch and Bound;facil;9;1;1,205;14480;32;32;22;10;19;true;concluido
Branch and Bound;facil;9;2;0,684;7192;32;32;22;10;19;true;concluido
Branch and Bound;facil;9;3;0,493;7192;32;32;22;10;19;true;concluido
Branch and Bound;facil;9;4;0,632;7192;32;32;22;10;19;true;concluido
Branch and Bound;facil;9;5;0,453;7568;32;32;22;10;19;true;concluido
Branch and Bound;facil;9;6;0,268;7192;32;32;22;10;19;true;concluido
Branch and Bound;facil;9;7;0,617;7192;32;32;22;10;19;true;concluido
Branch and Bound;facil;9;8;0,226;7192;32;32;22;10;19;true;concluido
Branch and Bound;facil;9;9;0,280;7192;32;32;22;10;19;true;concluido
Branch and Bound;facil;9;10;0,285;7192;32;32;22;10;19;true;concluido
Dynamic Programming;facil;9;1;0,784;22344;70;70;50;0;19;true;concluido
Dynamic Programming;facil;9;2;0,798;22008;70;70;50;0;19;true;concluido
Dynamic Programming;facil;9;3;0,510;22008;70;70;50;0;19;true;concluido
Dynamic Programming;facil;9;4;0,557;22008;70;70;50;0;19;true;concluido
Dynamic Programming;facil;9;5;0,382;22008;70;70;50;0;19;true;concluido
Dynamic Programming;facil;9;6;0,296;22008;70;70;50;0;19;true;concluido
Dynamic Programming;facil;9;7;0,140;22168;70;70;50;0;19;true;concluido
Dynamic Programming;facil;9;8;0,359;22008;70;70;50;0;19;true;concluido
Dynamic Programming;facil;9;9;0,181;22008;70;70;50;0;19;true;concluido
Dynamic Programming;facil;9;10;0,129;22008;70;70;50;0;19;true;concluido
Backtracking;medio;9;1;0,160;10680;86;86;57;0;28;true;concluido
Backtracking;medio;9;2;0,138;10680;86;86;57;0;28;true;concluido
Backtracking;medio;9;3;0,178;11088;86;86;57;0;28;true;concluido
Backtracking;medio;9;4;0,199;10680;86;86;57;0;28;true;concluido
Backtracking;medio;9;5;0,208;10680;86;86;57;0;28;true;concluido
Backtracking;medio;9;6;0,204;10680;86;86;57;0;28;true;concluido
Backtracking;medio;9;7;0,232;10680;86;86;57;0;28;true;concluido
Backtracking;medio;9;8;0,303;10680;86;86;57;0;28;true;concluido
Backtracking;medio;9;9;0,203;10680;86;86;57;0;28;true;concluido
Backtracking;medio;9;10;0,159;10680;86;86;57;0;28;true;concluido
Branch and Bound;medio;9;1;0,367;7488;39;39;16;6;28;true;concluido
Branch and Bound;medio;9;2;0,279;7488;39;39;16;6;28;true;concluido
Branch and Bound;medio;9;3;0,279;7488;39;39;16;6;28;true;concluido
Branch and Bound;medio;9;4;0,213;7488;39;39;16;6;28;true;concluido
Branch and Bound;medio;9;5;0,332;7488;39;39;16;6;28;true;concluido
Branch and Bound;medio;9;6;0,225;7488;39;39;16;6;28;true;concluido
Branch and Bound;medio;9;7;0,352;7488;39;39;16;6;28;true;concluido
Branch and Bound;medio;9;8;0,220;7488;39;39;16;6;28;true;concluido
Branch and Bound;medio;9;9;0,247;7488;39;39;16;6;28;true;concluido
Branch and Bound;medio;9;10;0,306;7488;39;39;16;6;28;true;concluido
Dynamic Programming;medio;9;1;0,325;26712;86;86;57;0;28;true;concluido
Dynamic Programming;medio;9;2;0,330;26712;86;86;57;0;28;true;concluido
Dynamic Programming;medio;9;3;0,220;26712;86;86;57;0;28;true;concluido
Dynamic Programming;medio;9;4;0,274;26712;86;86;57;0;28;true;concluido
Dynamic Programming;medio;9;5;0,369;26712;86;86;57;0;28;true;concluido
Dynamic Programming;medio;9;6;0,348;26712;86;86;57;0;28;true;concluido
Dynamic Programming;medio;9;7;0,242;26712;86;86;57;0;28;true;concluido
Dynamic Programming;medio;9;8;0,277;26712;86;86;57;0;28;true;concluido
Dynamic Programming;medio;9;9;0,563;26712;86;86;57;0;28;true;concluido
Dynamic Programming;medio;9;10;0,497;26712;86;86;57;0;28;true;concluido
Backtracking;dificil;9;1;0,103;9728;85;85;46;0;38;true;concluido
Backtracking;dificil;9;2;0,242;9728;85;85;46;0;38;true;concluido
Backtracking;dificil;9;3;0,172;9728;85;85;46;0;38;true;concluido
Backtracking;dificil;9;4;0,180;9728;85;85;46;0;38;true;concluido
Backtracking;dificil;9;5;0,120;9728;85;85;46;0;38;true;concluido
Backtracking;dificil;9;6;0,108;9728;85;85;46;0;38;true;concluido
Backtracking;dificil;9;7;0,146;10120;85;85;46;0;38;true;concluido
Backtracking;dificil;9;8;0,150;9728;85;85;46;0;38;true;concluido
Backtracking;dificil;9;9;0,368;9728;85;85;46;0;38;true;concluido
Backtracking;dificil;9;10;0,117;9728;85;85;46;0;38;true;concluido
Branch and Bound;dificil;9;1;0,490;10464;52;52;24;11;38;true;concluido
Branch and Bound;dificil;9;2;0,753;10464;52;52;24;11;38;true;concluido
Branch and Bound;dificil;9;3;0,449;10464;52;52;24;11;38;true;concluido
Branch and Bound;dificil;9;4;0,380;10464;52;52;24;11;38;true;concluido
Branch and Bound;dificil;9;5;0,481;10464;52;52;24;11;38;true;concluido
Branch and Bound;dificil;9;6;0,377;10464;52;52;24;11;38;true;concluido
Branch and Bound;dificil;9;7;0,309;10464;52;52;24;11;38;true;concluido
Branch and Bound;dificil;9;8;0,533;10464;52;52;24;11;38;true;concluido
Branch and Bound;dificil;9;9;0,431;10464;52;52;24;11;38;true;concluido
Branch and Bound;dificil;9;10;0,428;10464;52;52;24;11;38;true;concluido
Dynamic Programming;dificil;9;1;0,203;25552;85;85;46;0;38;true;concluido
Dynamic Programming;dificil;9;2;0,189;25552;85;85;46;0;38;true;concluido
Dynamic Programming;dificil;9;3;0,285;25552;85;85;46;0;38;true;concluido
Dynamic Programming;dificil;9;4;0,146;25552;85;85;46;0;38;true;concluido
Dynamic Programming;dificil;9;5;0,157;25552;85;85;46;0;38;true;concluido
Dynamic Programming;dificil;9;6;0,152;25552;85;85;46;0;38;true;concluido
Dynamic Programming;dificil;9;7;0,165;25552;85;85;46;0;38;true;concluido
Dynamic Programming;dificil;9;8;0,164;25552;85;85;46;0;38;true;concluido
Dynamic Programming;dificil;9;9;0,226;25552;85;85;46;0;38;true;concluido
Dynamic Programming;dificil;9;10;0,204;25552;85;85;46;0;38;true;concluido
Backtracking;facil;4;1;0,081;192;5;5;0;0;4;true;concluido
Backtracking;facil;4;2;0,011;192;5;5;0;0;4;true;concluido
Backtracking;facil;4;3;0,010;192;5;5;0;0;4;true;concluido
Backtracking;facil;4;4;0,011;192;5;5;0;0;4;true;concluido
Backtracking;facil;4;5;0,009;192;5;5;0;0;4;true;concluido
Backtracking;facil;4;6;0,010;192;5;5;0;0;4;true;concluido
Backtracking;facil;4;7;0,010;192;5;5;0;0;4;true;concluido
Backtracking;facil;4;8;0,010;192;5;5;0;0;4;true;concluido
Backtracking;facil;4;9;0,009;192;5;5;0;0;4;true;concluido
Backtracking;facil;4;10;0,011;192;5;5;0;0;4;true;concluido
Branch and Bound;facil;4;1;0,040;544;5;5;0;0;4;true;concluido
Branch and Bound;facil;4;2;0,017;544;5;5;0;0;4;true;concluido
Branch and Bound;facil;4;3;0,018;544;5;5;0;0;4;true;concluido
Branch and Bound;facil;4;4;0,018;544;5;5;0;0;4;true;concluido
Branch and Bound;facil;4;5;0,020;544;5;5;0;0;4;true;concluido
Branch and Bound;facil;4;6;0,018;544;5;5;0;0;4;true;concluido
Branch and Bound;facil;4;7;0,019;544;5;5;0;0;4;true;concluido
Branch and Bound;facil;4;8;0,019;544;5;5;0;0;4;true;concluido
Branch and Bound;facil;4;9;0,020;544;5;5;0;0;4;true;concluido
Branch and Bound;facil;4;10;0,025;544;5;5;0;0;4;true;concluido
Dynamic Programming;facil;4;1;0,016;608;5;5;0;0;4;true;concluido
Dynamic Programming;facil;4;2;0,183;608;5;5;0;0;4;true;concluido
Dynamic Programming;facil;4;3;0,016;608;5;5;0;0;4;true;concluido
Dynamic Programming;facil;4;4;0,017;608;5;5;0;0;4;true;concluido
Dynamic Programming;facil;4;5;0,016;608;5;5;0;0;4;true;concluido
Dynamic Programming;facil;4;6;0,035;608;5;5;0;0;4;true;concluido
Dynamic Programming;facil;4;7;0,017;608;5;5;0;0;4;true;concluido
Dynamic Programming;facil;4;8;0,016;608;5;5;0;0;4;true;concluido
Dynamic Programming;facil;4;9;0,028;608;5;5;0;0;4;true;concluido
Dynamic Programming;facil;4;10;0,037;608;5;5;0;0;4;true;concluido
Backtracking;medio;4;1;0,012;384;9;9;0;0;8;true;concluido
Backtracking;medio;4;2;0,007;384;9;9;0;0;8;true;concluido
Backtracking;medio;4;3;0,011;384;9;9;0;0;8;true;concluido
Backtracking;medio;4;4;0,009;384;9;9;0;0;8;true;concluido
Backtracking;medio;4;5;0,012;384;9;9;0;0;8;true;concluido
Backtracking;medio;4;6;0,010;384;9;9;0;0;8;true;concluido
Backtracking;medio;4;7;0,012;384;9;9;0;0;8;true;concluido
Backtracking;medio;4;8;0,013;384;9;9;0;0;8;true;concluido
Backtracking;medio;4;9;0,011;384;9;9;0;0;8;true;concluido
Backtracking;medio;4;10;0,011;384;9;9;0;0;8;true;concluido
Branch and Bound;medio;4;1;0,028;1088;9;9;0;0;8;true;concluido
Branch and Bound;medio;4;2;0,031;1088;9;9;0;0;8;true;concluido
Branch and Bound;medio;4;3;0,031;1088;9;9;0;0;8;true;concluido
Branch and Bound;medio;4;4;0,020;1088;9;9;0;0;8;true;concluido
Branch and Bound;medio;4;5;0,022;1088;9;9;0;0;8;true;concluido
Branch and Bound;medio;4;6;0,024;1088;9;9;0;0;8;true;concluido
Branch and Bound;medio;4;7;0,024;1088;9;9;0;0;8;true;concluido
Branch and Bound;medio;4;8;0,026;1088;9;9;0;0;8;true;concluido
Branch and Bound;medio;4;9;0,043;1088;9;9;0;0;8;true;concluido
Branch and Bound;medio;4;10;0,017;1088;9;9;0;0;8;true;concluido
Dynamic Programming;medio;4;1;0,016;1152;9;9;0;0;8;true;concluido
Dynamic Programming;medio;4;2;0,110;1152;9;9;0;0;8;true;concluido
Dynamic Programming;medio;4;3;0,018;1152;9;9;0;0;8;true;concluido
Dynamic Programming;medio;4;4;0,015;1152;9;9;0;0;8;true;concluido
Dynamic Programming;medio;4;5;0,012;1152;9;9;0;0;8;true;concluido
Dynamic Programming;medio;4;6;0,018;1152;9;9;0;0;8;true;concluido
Dynamic Programming;medio;4;7;0,028;1152;9;9;0;0;8;true;concluido
Dynamic Programming;medio;4;8;0,015;1152;9;9;0;0;8;true;concluido
Dynamic Programming;medio;4;9;0,013;1152;9;9;0;0;8;true;concluido
Dynamic Programming;medio;4;10;0,011;1152;9;9;0;0;8;true;concluido
Backtracking;dificil;4;1;0,015;672;15;15;0;0;14;true;concluido
Backtracking;dificil;4;2;0,011;672;15;15;0;0;14;true;concluido
Backtracking;dificil;4;3;0,016;672;15;15;0;0;14;true;concluido
Backtracking;dificil;4;4;0,010;672;15;15;0;0;14;true;concluido
Backtracking;dificil;4;5;0,009;672;15;15;0;0;14;true;concluido
Backtracking;dificil;4;6;0,013;672;15;15;0;0;14;true;concluido
Backtracking;dificil;4;7;0,009;672;15;15;0;0;14;true;concluido
Backtracking;dificil;4;8;0,012;672;15;15;0;0;14;true;concluido
Backtracking;dificil;4;9;0,011;672;15;15;0;0;14;true;concluido
Backtracking;dificil;4;10;0,009;672;15;15;0;0;14;true;concluido
Branch and Bound;dificil;4;1;0,050;1904;15;15;0;0;14;true;concluido
Branch and Bound;dificil;4;2;0,043;1904;15;15;0;0;14;true;concluido
Branch and Bound;dificil;4;3;0,033;1904;15;15;0;0;14;true;concluido
Branch and Bound;dificil;4;4;0,044;1904;15;15;0;0;14;true;concluido
Branch and Bound;dificil;4;5;0,029;1904;15;15;0;0;14;true;concluido
Branch and Bound;dificil;4;6;0,028;1904;15;15;0;0;14;true;concluido
Branch and Bound;dificil;4;7;0,056;1904;15;15;0;0;14;true;concluido
Branch and Bound;dificil;4;8;0,088;1904;15;15;0;0;14;true;concluido
Branch and Bound;dificil;4;9;0,032;1904;15;15;0;0;14;true;concluido
Branch and Bound;dificil;4;10;0,039;1904;15;15;0;0;14;true;concluido
Dynamic Programming;dificil;4;1;0,022;1968;15;15;0;0;14;true;concluido
Dynamic Programming;dificil;4;2;0,018;1968;15;15;0;0;14;true;concluido
Dynamic Programming;dificil;4;3;0,017;1968;15;15;0;0;14;true;concluido
Dynamic Programming;dificil;4;4;0,012;1968;15;15;0;0;14;true;concluido
Dynamic Programming;dificil;4;5;0,016;1968;15;15;0;0;14;true;concluido
